Measure,count,mean,median,mode,var,std,min,max,skew,kurt
M_5AC,157.0,80.39490445859873,80.7,78.0,31.464332843377434,5.609307697334621,59.4,94.8,-0.4630725782218649,1.0079798228659285
F_5AC,157.0,86.92738853503185,87.1,83.7,15.594565572431817,3.948995514359546,71.6,95.6,-0.6468000184316026,0.9703166221305319
T_5AC,157.0,83.60955414012739,83.9,79.0,21.06843377429365,4.590036358711513,65.5,93.0,-0.6150642340138872,1.2382454821864841
